meta_id,genus,species,mom_cnt,mom_newborn_pct,newborn_cnt,four_month_pct,four_month_cnt,yr_pct,yr_cnt
MS00052,Bacteroides,Bacteroides_thetaiotaomicron,14,0.0000,0,0.0000,0,0.0000,4
MS00053,Bacteroides,Bacteroides_uniformis,13,0.0000,0,0.0000,3,1.0000,11
MS00054,Bacteroides,Bacteroides_fragilis2,12,0.0000,0,0.0000,3,0.6667,7
MS00055,Bacteroides,Bacteroides_vulgatus/Bacteroides_dorei,14,0.0000,0,0.0000,4,0.7500,8
MS00056,Bifidobacterium,Bifidobacterium_breve,2,0.5000,1,1.0000,6,0.0000,0
MS00057,Bifidobacterium,Bifidobacterium_gallicum,0,0.0000,0,0.0000,0,0.0000,0
MS00058,Bifidobacterium,Bifidobacterium_angulatum,2,0.0000,0,0.0000,0,0.0000,0
MS00059,Bifidobacterium,Bifidobacterium_longum,13,0.3077,4,0.5000,12,0.6667,10
MS00060,Bifidobacterium,Bifidobacterium_pseudocatenulatum/Bifidobacterium_catenulatum,11,0.0000,0,0.0000,3,0.6667,6
MS00061,Bifidobacterium,Bifidobacterium_adolescentis,12,0.0000,0,0.0000,2,1.0000,6
MS00062,Bifidobacterium,Bifidobacterium_bifidum,15,0.0667,1,1.0000,5,0.8000,12
MS00063,Bifidobacterium,Bifidobacterium_dentium,4,0.2500,2,0.5000,7,0.2857,4
MS00064,Bifidobacterium,Bifidobacterium_animalis,4,0.0000,2,1.0000,2,0.5000,2
MS00065,Bilophila,Bilophila_wadsworthia,12,0.0000,0,0.0000,0,0.0000,4
MS00066,Blautia,Blautia_hansenii,15,0.0000,0,0.0000,2,1.0000,14
MS00067,Blautia,Blautia_hydrogenotrophica,10,0.0000,0,0.0000,0,0.0000,1
MS00068,Brachyspira,Brachyspira_pilosicoli,0,0.0000,0,0.0000,0,0.0000,0
MS00069,Brachyspira,Brachyspira_hyodysenteriae,0,0.0000,0,0.0000,0,0.0000,0
MS00070,Brevundimonas,Brevundimonas_diminuta,0,0.0000,0,0.0000,1,0.0000,0
MS00071,Bryantella,Bryantella_formatexigens,9,0.0000,0,0.0000,1,1.0000,5
MS00072,Butyrivibrio,Butyrivibrio_crossotus,11,0.0909,1,1.0000,2,1.0000,11
MS00073,Campylobacter,Campylobacter_gracilis,0,0.0000,0,0.0000,2,0.5000,1
MS00074,Campylobacter,Campylobacter_lari,0,0.0000,0,0.0000,0,0.0000,0
MS00075,Campylobacter,Campylobacter_hominis,1,0.0000,0,0.0000,0,0.0000,1
MS00076,Campylobacter,Campylobacter_coli/Campylobacter_jejuni,1,0.0000,0,0.0000,0,0.0000,0
MS00077,Campylobacter,Campylobacter_upsaliensis,0,0.0000,0,0.0000,0,0.0000,0
MS00078,Capnocytophaga/Paraprevotella,Paraprevotella_xylaniphila,5,0.0000,0,0.0000,1,1.0000,4
MS00079,Catenibacterium,Catenibacterium_mitsuokai,1,0.0000,0,0.0000,0,0.0000,0
MS00080,Chryseobacterium,Chryseobacterium_gleum,0,0.0000,0,0.0000,0,0.0000,0
MS00081,Citrobacter,Citrobacter_koseri,1,1.0000,1,0.0000,2,0.0000,2
MS00082,Citrobacter,Citrobacter_youngae,1,0.0000,0,0.0000,3,0.3333,4
MS00083,Citrobacter,Citrobacter_rodentium,0,0.0000,0,0.0000,1,0.0000,0
MS00084,Citrobacter,Citrobacter_30_2,7,0.1429,3,1.0000,7,0.4286,5
MS00085,Clostridiales,Clostridiales_bacterium_1_7_47FAA,9,0.0000,0,0.0000,3,1.0000,12
MS00086,Clostridium,Clostridium_bolteae,12,0.0000,0,0.0000,6,1.0000,15
MS00087,Clostridium,Clostridium_bartlettii,10,0.1000,1,0.0000,6,0.8333,13
MS00088,Clostridium,Clostridium_asparagiforme,14,0.0714,1,1.0000,2,1.0000,9
MS00089,Clostridium,Clostridium_saccharolyticum,8,0.0000,0,0.0000,0,0.0000,0
MS00090,Clostridium,Clostridium_scindens,10,0.0000,0,0.0000,1,1.0000,6
MS00091,Clostridium,Clostridium_leptum,13,0.0000,0,0.0000,0,0.0000,4
MS00092,Clostridium,Clostridium_lentocellum,0,0.0000,0,0.0000,0,0.0000,3
MS00093,Clostridium,Clostridium_carboxidivorans,0,0.0000,0,0.0000,0,0.0000,0
MS00094,Clostridium,Clostridium_M62_1,15,0.0000,0,0.0000,2,1.0000,13
MS00095,Clostridium,Clostridium_hathewayi,8,0.0000,0,0.0000,1,1.0000,7
MS00096,Clostridium,Clostridium_nexile,15,0.0667,1,1.0000,5,1.0000,15
MS00097,Clostridium,Clostridium_L2_50,13,0.0000,1,1.0000,3,1.0000,10
MS00098,Clostridium,Clostridium_spiroforme,6,0.0000,0,0.0000,1,1.0000,6
MS00099,Clostridium,Clostridium_SS2_1/Lachnospiraceae_bacterium_5_1_63FAA,13,0.0000,0,0.0000,1,1.0000,9
MS00100,Clostridium,Clostridium_HGF2,15,0.1333,2,1.0000,8,0.8750,13
MS00101,Clostridium,Clostridium_methylpentosum,8,0.0000,0,0.0000,2,0.0000,6
MS00102,Clostridium,Clostridium_D5,6,0.0000,0,0.0000,3,1.0000,7
MS00103,Clostridium,Clostridium_SY8519,2,0.0000,0,0.0000,0,0.0000,0
MS00104,Clostridium,Clostridium_hiranonis,0,0.0000,0,0.0000,0,0.0000,0
MS00105,Clostridium,Clostridium_hylemonae,3,0.0000,0,0.0000,0,0.0000,2
MS00106,Clostridium/Coprobacillus,Clostridium_ramosum,5,0.2000,2,1.0000,8,0.7500,13
MS00107,Clostridium,Clostridium_botulinum/Clostridium_tetani/Clostridium_sporogenes,0,0.0000,0,0.0000,1,0.0000,0
MS00108,Clostridium,Clostridium_difficile,7,0.1429,1,1.0000,5,0.6000,9
MS00109,Clostridium,Clostridium_symbiosum,14,0.0714,1,1.0000,8,1.0000,14
MS00110,Clostridium,Clostridium_botulinum/Clostridium_novyi,0,0.0000,0,0.0000,0,0.0000,0
MS00111,Clostridium,Clostridium_botulinum/Clostridium_beijerinckii/Clostridium_butyricum,8,0.6250,5,0.6000,10,0.9000,14
MS00112,Clostridium,Clostridium_perfringens,1,1.0000,2,0.0000,4,0.0000,0
MS00113,Collinsella,Collinsella_aerofaciens,13,0.0769,1,0.0000,5,0.6000,9
MS00114,Collinsella,Collinsella_stercoris/Collinsella_intestinalis,6,0.0000,0,0.0000,1,1.0000,2
MS00115,Comamonas,Comamonas_testosteroni,0,0.0000,0,0.0000,0,0.0000,0
MS00116,Coprobacillus,Coprobacillus_29_1,11,0.0000,0,0.0000,1,1.0000,9
MS00117,Coprococcus,Coprococcus_eutactus,11,0.0000,0,0.0000,0,0.0000,2
MS00118,Coprococcus,Coprococcus_comes,14,0.0000,0,0.0000,2,0.0000,11
MS00119,Coriobacterium,Coriobacterium_glomerans,0,0.0000,0,0.0000,0,0.0000,0
MS00120,Cronobacter,Cronobacter_turicensis/Cronobacter_sakazakii,0,0.0000,0,0.0000,0,0.0000,1
MS00121,Delftia,Delftia_acidovorans,0,0.0000,0,0.0000,1,0.0000,0
MS00122,Desulfovibrio,Desulfovibrio_vulgaris,0,0.0000,0,0.0000,0,0.0000,0
MS00123,Desulfovibrio,Desulfovibrio_piger,3,0.0000,0,0.0000,0,0.0000,1
MS00124,Desulfovibrio,Desulfovibrio_desulfuricans,0,0.0000,0,0.0000,0,0.0000,0
MS00125,Desulfovibrio,Desulfovibrio_desulfuricans,0,0.0000,0,0.0000,0,0.0000,0
MS00126,Desulfovibrio,Desulfovibrio_3_1_syn3,1,0.0000,0,0.0000,0,0.0000,0
MS00127,Dialister,Dialister_invisus,12,0.0000,0,0.0000,0,0.0000,5
MS00128,Dialister,Dialister_micraerophilus,2,0.0000,0,0.0000,0,0.0000,2
MS00129,Dickeya,Dickeya_dadantii,0,0.0000,0,0.0000,0,0.0000,0
MS00130,Dickeya,Dickeya_zeae,0,0.0000,0,0.0000,0,0.0000,0
MS00131,Dickeya,Dickeya_dadantii,0,0.0000,0,0.0000,0,0.0000,0
MS00132,Dickeya,Dickeya_dadantii,0,0.0000,0,0.0000,0,0.0000,0
MS00133,Dorea,Dorea_longicatena,13,0.0000,0,0.0000,0,0.0000,6
MS00134,Dorea,Dorea_formicigenerans,14,0.0000,0,0.0000,0,0.0000,10
MS00135,Edwardsiella,Edwardsiella_tarda,0,0.0000,0,0.0000,0,0.0000,0
MS00136,Edwardsiella,Edwardsiella_ictaluri/Edwardsiella_tarda,0,0.0000,0,0.0000,0,0.0000,0
MS00137,Eggerthella,Eggerthella_YY7918,6,0.0000,0,0.0000,1,0.0000,4
MS00138,Eggerthella,Eggerthella_lenta,13,0.0769,1,1.0000,9,1.0000,14
MS00139,Eikenella,Eikenella_corrodens,0,0.0000,1,0.0000,0,0.0000,2
MS00140,Enterobacter,Enterobacter_cloacae,1,0.0000,1,1.0000,5,1.0000,7
MS00141,Enterobacter,Enterobacter_638,0,0.0000,0,0.0000,0,0.0000,1
MS00142,Enterobacter,Enterobacter_aerogenes,1,1.0000,1,1.0000,1,0.0000,1
MS00143,Enterobacter,Enterobacter_cloacae,0,0.0000,0,0.0000,2,0.0000,1
MS00144,Enterobacter,Enterobacter_hormaechei/Enterobacter_cancerogenus,4,0.0000,3,0.6667,8,0.7500,9
MS00145,Enterobacteriaceae,Enterobacteriaceae_bacterium_9_2_54FAA,0,0.0000,0,0.0000,0,0.0000,0
MS00146,Enterococcus,Enterococcus_italicus,0,0.0000,0,0.0000,2,0.0000,0
MS00147,Enterococcus,Enterococcus_gallinarum,0,0.0000,0,0.0000,2,0.0000,3
MS00148,Enterococcus,Enterococcus_faecium,1,0.0000,0,0.0000,2,0.0000,1
MS00149,Enterococcus,Enterococcus_faecalis,2,0.5000,8,0.8750,11,0.0000,1
MS00150,Enterococcus,Enterococcus_casseliflavus,1,0.0000,0,0.0000,8,0.1250,3
MS00151,Erwinia,Erwinia_tasmaniensis,0,0.0000,0,0.0000,0,0.0000,0
MS00152,Erwinia,Erwinia_billingiae,0,0.0000,0,0.0000,0,0.0000,0
MS00153,Erwinia,Erwinia_amylovora/Erwinia_pyrifoliae,0,0.0000,0,0.0000,0,0.0000,0
MS00154,Erysipelotrichaceae,Erysipelotrichaceae_bacterium_3_1_53,11,0.0000,0,0.0000,1,0.0000,6
MS00155,Erysipelotrichaceae,Erysipelotrichaceae_bacterium_5_2_54FAA,14,0.0000,0,0.0000,0,0.0000,7
MS00156,Escherichia,Escherichia_fergusonii,8,0.0000,1,0.0000,2,0.0000,1
MS00157,Escherichia,Escherichia_albertii,6,0.0000,2,1.0000,7,0.1429,3
MS00158,Escherichia/Shigella,Escherichia_coli/Shigella_sonnei/Shigella_boydii/Shigella_dysenteriae/Shigella_flexneri,13,0.2308,4,1.0000,11,0.9091,12
MS00159,Eubacterium,Eubacterium_hallii,13,0.0000,0,0.0000,0,0.0000,5
MS00160,Eubacterium,Eubacterium_eligens,12,0.0000,0,0.0000,0,0.0000,9
MS00161,Eubacterium,Eubacterium_biforme,14,0.0000,0,0.0000,0,0.0000,8
MS00162,Eubacterium,Eubacterium_limosum,2,0.0000,0,0.0000,0,0.0000,1
MS00163,Eubacterium,Eubacterium_dolichum,13,0.0769,1,1.0000,2,0.5000,11
MS00164,Eubacterium,Eubacterium_ventriosum,14,0.0000,0,0.0000,0,0.0000,11
MS00165,Eubacterium,Eubacterium_rectale,13,0.0000,0,0.0000,0,0.0000,7
MS00166,Eubacterium,Eubacterium_siraeum,9,0.0000,0,0.0000,0,0.0000,2
MS00167,Faecalibacterium,Faecalibacterium_cf,15,0.0000,0,0.0000,0,0.0000,10
MS00168,Faecalibacterium,Faecalibacterium_prausnitzii1,15,0.0000,0,0.0000,0,0.0000,12
MS00169,Faecalibacterium,Faecalibacterium_prausnitzii2,15,0.0667,1,0.0000,1,1.0000,13
MS00170,Finegoldia,Finegoldia_magna,3,0.0000,1,0.0000,6,0.5000,5
MS00171,Fusobacterium,Fusobacterium_D12,0,0.0000,0,0.0000,0,0.0000,0
MS00172,Fusobacterium,Fusobacterium_mortiferum,0,0.0000,0,0.0000,0,0.0000,0
MS00173,Fusobacterium,Fusobacterium_periodonticum/Fusobacterium_nucleatum,0,0.0000,0,0.0000,3,0.3333,3
MS00174,Fusobacterium,Fusobacterium_varium/Fusobacterium_ulcerans,0,0.0000,0,0.0000,0,0.0000,0
MS00175,Fusobacterium,Fusobacterium_gonidiaformans,0,0.0000,0,0.0000,0,0.0000,0
MS00176,Gallibacterium,Gallibacterium_anatis,0,0.0000,0,0.0000,0,0.0000,0
MS00177,Gardnerella,Gardnerella_vaginalis,1,0.0000,0,0.0000,0,0.0000,0
MS00178,Gardnerella,Gardnerella_vaginalis,1,0.0000,0,0.0000,0,0.0000,0
MS00179,Gemella,Gemella_moribillum/Gemella_haemolysans/Gemella_sanguinis,2,1.0000,12,0.6667,9,0.4444,8
MS00180,Granulicatella,Granulicatella_adiacens,9,0.2222,2,1.0000,10,0.6000,10
MS00181,Granulicatella,Granulicatella_elegans,0,0.0000,2,0.5000,7,0.2857,4
MS00182,Haemophilus,Haemophilus_parainfluenzae,9,0.8889,13,0.5385,8,0.6250,10
MS00183,Haemophilus,Haemophilus_ducreyi,0,0.0000,0,0.0000,0,0.0000,0
MS00184,Haemophilus,Haemophilus_aegyptius/Haemophilus_influenzae/Haemophilus_haemolyticus,1,1.0000,7,0.2857,4,0.2500,3
MS00185,Haemophilus,Haemophilus_parasuis,0,0.0000,0,0.0000,0,0.0000,0
MS00186,Haemophilus,Haemophilus_somnus,0,0.0000,0,0.0000,0,0.0000,0
MS00187,Holdemania,Holdemania_filiformis,13,0.0000,0,0.0000,0,0.0000,5
MS00188,Kingella,Kingella_kingae,0,0.0000,0,0.0000,0,0.0000,0
MS00189,Kingella,Kingella_oralis,0,0.0000,0,0.0000,0,0.0000,0
MS00190,Kingella,Kingella_denitrificans,0,0.0000,1,0.0000,0,0.0000,0
MS00191,Klebsiella,Klebsiella_pneumoniae/Klebsiella_variicola,1,0.0000,3,1.0000,4,0.0000,4
MS00192,Kocuria,Kocuria_rhizophila,0,0.0000,0,0.0000,0,0.0000,0
MS00193,Lachnospiraceae,Lachnospiraceae_bacterium_2_1_46FAA,0,0.0000,0,0.0000,1,1.0000,3
MS00194,Lachnospiraceae,Lachnospiraceae_bacterium_1_4_56FAA,9,0.0000,0,0.0000,1,1.0000,12
MS00195,Lachnospiraceae,Lachnospiraceae_bacterium_4_1_37FAA/Lachnospiraceae_bacterium_9_1_43BFAA,6,0.0000,1,0.0000,1,1.0000,11
MS00196,Lactobacillus,Lactobacillus_kefiranofaciens,0,0.0000,0,0.0000,0,0.0000,0
MS00197,Lactobacillus,Lactobacillus_coleohominis,0,0.0000,0,0.0000,0,0.0000,0
MS00198,Lactobacillus,Lactobacillus_salivarius,0,0.0000,1,0.0000,1,0.0000,0
MS00199,Lactobacillus,Lactobacillus_oris,0,0.0000,1,1.0000,2,0.0000,0
MS00200,Lactobacillus,Lactobacillus_antri,0,0.0000,0,0.0000,1,0.0000,0
MS00201,Lactobacillus,Lactobacillus_amylolyticus,0,0.0000,0,0.0000,0,0.0000,0
MS00202,Lactobacillus,Lactobacillus_vaginalis,0,0.0000,0,0.0000,0,0.0000,0
MS00203,Lactobacillus,Lactobacillus_helveticus/Lactobacillus_ultunensis/Lactobacillus_acidophilus/Lactobacillus_crispatus,5,0.0000,0,0.0000,0,0.0000,1
MS00204,Lactobacillus,Lactobacillus_iners,1,0.0000,0,0.0000,0,0.0000,0
MS00205,Lactobacillus,Lactobacillus_amylovorus/Lactobacillus_acidophilus,1,0.0000,0,0.0000,0,0.0000,0
MS00206,Lactobacillus,Lactobacillus_ruminis,1,0.0000,0,0.0000,0,0.0000,0
MS00207,Lactobacillus,Lactobacillus_fermentum,1,0.0000,1,0.0000,0,0.0000,0
MS00208,Lactobacillus,Lactobacillus_plantarum,2,0.0000,0,0.0000,1,0.0000,1
MS00209,Lactobacillus,Lactobacillus_delbrueckii,7,0.0000,0,0.0000,0,0.0000,1
MS00210,Lactobacillus,Lactobacillus_rhamnosus,1,0.0000,2,0.5000,7,0.0000,0
MS00211,Lactobacillus,Lactobacillus_paracasei/Lactobacillus_casei,2,0.0000,1,0.0000,5,0.0000,0
MS00212,Lactobacillus,Lactobacillus_jensenii,0,0.0000,0,0.0000,0,0.0000,0
MS00213,Lactobacillus,Lactobacillus_reuteri,1,0.0000,0,0.0000,1,0.0000,0
MS00214,Lactobacillus,Lactobacillus_johnsonii/Lactobacillus_gasseri,1,0.0000,0,0.0000,3,0.0000,0
MS00215,Lactococcus,Lactococcus_lactis,8,0.0000,0,0.0000,1,1.0000,5
MS00216,Leuconostoc,Leuconostoc_citreum,1,0.0000,0,0.0000,1,0.0000,3
MS00217,Leuconostoc,Leuconostoc_mesenteroides,9,0.0000,0,0.0000,0,0.0000,3
MS00218,Leuconostoc,Leuconostoc_lactis/Leuconostoc_argentinum,1,0.0000,0,0.0000,0,0.0000,3
MS00219,Lysinibacillus/Bacillus,Lysinibacillus_fusiformis/Lysinibacillus_sphaericus,0,0.0000,0,0.0000,0,0.0000,0
MS00220,Macrococcus,Macrococcus_caseolyticus,0,0.0000,0,0.0000,1,1.0000,2
MS00221,Mannheimia,Mannheimia_succiniciproducens,0,0.0000,0,0.0000,0,0.0000,0
MS00222,Mannheimia,Mannheimia_haemolytica,0,0.0000,0,0.0000,0,0.0000,0
MS00223,Megasphaera,Megasphaera_micronuciformis,1,0.0000,0,0.0000,3,0.0000,1
MS00224,Megasphaera,Megasphaera_UPII_135_E,1,0.0000,0,0.0000,0,0.0000,0
MS00225,Megasphaera,Megasphaera_UPII_199_6/Megasphaera_genomosp__type_1_28L,1,0.0000,0,0.0000,1,0.0000,0
MS00226,Melissococcus,Melissococcus_plutonius,0,0.0000,0,0.0000,0,0.0000,0
MS00227,Methanobrevibacter,Methanobrevibacter_smithii,6,0.0000,0,0.0000,0,0.0000,1
MS00228,Methanosphaera,Methanosphaera_stadtmanae,1,0.0000,0,0.0000,0,0.0000,0
MS00229,Micrococcus,Micrococcus_luteus,0,0.0000,0,0.0000,0,0.0000,0
MS00230,Mitsuokella,Mitsuokella_multacida,0,0.0000,0,0.0000,0,0.0000,0
MS00231,Mobiluncus,Mobiluncus_curtisii,1,0.0000,0,0.0000,2,0.0000,0
MS00232,Neisseria,Neisseria_elongata,0,0.0000,1,0.0000,0,0.0000,0
MS00233,Neisseria,Neisseria_oral_taxon_014_F0314,0,0.0000,0,0.0000,0,0.0000,0
MS00234,Neisseria,Neisseria_bacilliformis,0,0.0000,0,0.0000,0,0.0000,0
MS00235,Neisseria,Neisseria_cinerea,0,0.0000,3,0.0000,0,0.0000,1
MS00236,Neisseria,Neisseria_meningitidis/Neisseria_polysaccharea/Neisseria_gonorrhoeae/Neisseria_lactamica,0,0.0000,2,0.0000,0,0.0000,0
MS00237,Neisseria,Neisseria_mucosa/Neisseria_macacae/Neisseria_sicca,0,0.0000,0,0.0000,0,0.0000,1
MS00238,Neisseria,Neisseria_mucosa/Neisseria_subflava/Neisseria_flavescens,0,0.0000,3,0.0000,0,0.0000,3
MS00239,Odoribacter,Odoribacter_splanchnicus,11,0.0000,0,0.0000,1,1.0000,3
MS00240,Olsenella,Olsenella_uli,0,0.0000,0,0.0000,2,0.0000,0
MS00241,Pantoea,Pantoea_ananatis,0,0.0000,0,0.0000,0,0.0000,0
MS00242,Pantoea,Pantoea_At_9b,0,0.0000,0,0.0000,0,0.0000,0
MS00243,Pantoea,Pantoea_vagans,0,0.0000,0,0.0000,0,0.0000,0
MS00244,Parabacteroides,Parabacteroides_johnsonii/Parabacteroides_merdae,11,0.0000,0,0.0000,4,0.5000,3
MS00245,Parabacteroides/Bacteroides,Parabacteroides_distasonis,13,0.0000,0,0.0000,2,1.0000,9
MS00246,Parascardovia,Parascardovia_denticolens,0,0.0000,0,0.0000,0,0.0000,0
MS00247,Parasutterella,Parasutterella_excrementihominis,8,0.0000,0,0.0000,0,0.0000,5
MS00248,Pasteurella,Pasteurella_multocida,0,0.0000,0,0.0000,0,0.0000,0
MS00249,Pasteurella,Pasteurella_dagmatis,0,0.0000,0,0.0000,0,0.0000,0
MS00250,Pectobacterium,Pectobacterium_atrosepticum/Pectobacterium_wasabiae,0,0.0000,0,0.0000,0,0.0000,0
MS00251,Pectobacterium,Pectobacterium_carotovorum,0,0.0000,0,0.0000,0,0.0000,0
MS00252,Peptoniphilus,Peptoniphilus_harei,4,0.0000,0,0.0000,2,0.5000,3
MS00253,Peptoniphilus,Peptoniphilus_duerdenii,2,0.0000,0,0.0000,2,0.0000,3
MS00254,Peptoniphilus,Peptoniphilus_oral_taxon_375_F0436,2,0.0000,0,0.0000,1,0.0000,0
MS00255,Peptoniphilus,Peptoniphilus_oral_taxon_386_F0131,0,0.0000,0,0.0000,0,0.0000,0
MS00256,Peptoniphilus,Peptoniphilus_lacrimalis,2,0.0000,0,0.0000,2,0.0000,3
MS00257,Peptostreptococcus,Peptostreptococcus_stomatis,0,0.0000,0,0.0000,0,0.0000,1
MS00258,Peptostreptococcus,Peptostreptococcus_anaerobius,5,0.0000,0,0.0000,2,0.5000,2
MS00259,Phascolarctobacterium,Phascolarctobacterium_YIT_12067,8,0.0000,0,0.0000,0,0.0000,1
MS00260,Photorhabdus,Photorhabdus_asymbiotica,0,0.0000,0,0.0000,0,0.0000,0
MS00261,Photorhabdus,Photorhabdus_luminescens,0,0.0000,0,0.0000,0,0.0000,0
MS00262,Plautia,Plautia_stali,0,0.0000,0,0.0000,0,0.0000,0
MS00263,Porphyromonas,Porphyromonas_uenonis,1,0.0000,0,0.0000,2,0.5000,4
MS00264,Porphyromonas,Porphyromonas_asaccharolytica,2,0.0000,0,0.0000,1,1.0000,3
MS00265,Prevotella,Prevotella_disiens,2,0.0000,0,0.0000,1,0.0000,5
MS00266,Prevotella,Prevotella_bivia,3,0.0000,0,0.0000,2,1.0000,4
MS00267,Prevotella,Prevotella_multiformis,1,0.0000,0,0.0000,0,0.0000,2
MS00268,Prevotella,Prevotella_salivae,0,0.0000,0,0.0000,0,0.0000,1
MS00269,Prevotella,Prevotella_amnii,2,0.0000,0,0.0000,0,0.0000,3
MS00270,Prevotella,Prevotella_veroralis,0,0.0000,0,0.0000,0,0.0000,2
MS00271,Prevotella,Prevotella_buccalis,2,0.0000,0,0.0000,2,0.5000,6
MS00272,Prevotella,Prevotella_oral_taxon_299_F0039,1,0.0000,0,0.0000,0,0.0000,2
MS00273,Prevotella,Prevotella_timonensis,3,0.0000,0,0.0000,3,0.6667,7
MS00274,Prevotella,Prevotella_pallens,1,0.0000,0,0.0000,0,0.0000,3
