geoid,county,phosdex
12127081200,Volusia,92.05805495
12086007804,Miami-Dade,0.070230823
12073002513,Leon,2.437384629
12057005800,Hillsborough,53.81571758
12081001403,Manatee,5.485056762
12101031205,Pasco,24.04844769
12053041103,Hernando,0.061590135
12095012202,Orange,35.79835283
12011010601,Broward,12.7766774
12009062109,Brevard,54.15483132
12105012407,Polk,44.96916817
12117022101,Seminole,77.08051749
12117021312,Seminole,48.66206601
12099007734,Palm Beach,7.03139126
12011070209,Broward,5.44716677
12099008001,Palm Beach,28.34591944
12023110601,Columbia,19.99779741
12105011821,Polk,34.33398873
12086012500,Miami-Dade,2.279862452
12011070210,Broward,1.90314789
12103027701,Pinellas,34.26965154
12095013406,Orange,65.72246288
12103028003,Pinellas,35.86277097
12011020212,Broward,9.231333674
12011040102,Broward,1.833391365
12103025123,Pinellas,22.39824309
12011110321,Broward,4.412570808
12011031101,Broward,21.45193204
12057010108,Hillsborough,29.91723181
12109020804,St Johns,28.2510779
12099002100,Palm Beach,8.698826689
12011060503,Broward,18.65727382
12021010213,Collier,1.699957853
12005001100,Bay,8.049941756
12059960300,Holmes,16.11656299
12057980700,Hillsborough,59.2191708
12019031101,Clay,45.65234595
12103026908,Pinellas,52.95653263
12105011604,Polk,6.22856708
12011050401,Broward,18.21816905
12107950100,Putnam,38.12483955
12031010301,Duval,31.51120237
12071001915,Lee,1.82382826
12099000301,Palm Beach,22.14752243
12101031406,Pasco,39.94007426
12083002401,Marion,73.14506575
12073000303,Leon,22.59082745
12127080902,Volusia,43.7608571
12011110501,Broward,8.161565687
12057011415,Hillsborough,6.757717917
12086000604,Miami-Dade,4.754488786
12083001402,Marion,57.68683616
12071001707,Lee,25.44150022
12011091802,Broward,5.127139433
12095016907,Orange,55.24761518
12086006707,Miami-Dade,5.037949457
12011041600,Broward,12.73906761
12101032200,Pasco,34.91952747
12011050311,Broward,14.81505737
12111382007,St Lucie,8.27640187
12127083003,Volusia,42.1347667
12086008602,Miami-Dade,0.813431117
12095016601,Orange,62.91028438
12101031409,Pasco,57.1535625
12117020401,Seminole,38.77676439
12105015600,Polk,53.52477598
12127090202,Volusia,60.55402184
12099006202,Palm Beach,1.58166591
12086000410,Miami-Dade,3.280664155
12071000302,Lee,2.761455182
12057013307,Hillsborough,12.87112841
12101032801,Pasco,34.98113081
12099007747,Palm Beach,3.03291637
12099001909,Palm Beach,12.56014104
12127091025,Volusia,18.5671339
12086010208,Miami-Dade,2.545799235
12011060213,Broward,7.009347987
12097040801,Osceola,15.76305866
12071050312,Lee,13.18568156
12103025110,Pinellas,11.89624178
12105011000,Polk,17.53712008
12053041302,Hernando,6.759488305
12085001103,Martin,7.636437318
12105013702,Polk,23.50827034
12099003800,Palm Beach,19.10397848
12071040126,Lee,19.8882676
12105013901,Polk,7.69243525
12117021201,Seminole,17.69423645
12031000100,Duval,63.32740613
12086006504,Miami-Dade,3.696712811
12083001500,Marion,37.75434347
12105015500,Polk,0.367985681
12069030410,Lake,57.24511185
12011010102,Broward,16.6089501
12037970100,Franklin,26.49061823
12031017100,Duval,66.14464484
12057011205,Hillsborough,11.98852326
12086009705,Miami-Dade,1.141076245
12085001301,Martin,17.93136311
12017450500,Citrus,25.7093552
12086001606,Miami-Dade,3.800872869
12086013900,Miami-Dade,2.281373873
12021011102,Collier,1.352688549
12086006802,Miami-Dade,0.340347637
12099007909,Palm Beach,35.26454589
12015021001,Charlotte,1.056249375
12021000700,Collier,0.657623056
12099001003,Palm Beach,24.03275915
12099005951,Palm Beach,29.29648349
12115002203,Sarasota,29.20287495
12086013200,Miami-Dade,5.248130999
12057013912,Hillsborough,9.452912436
12086010198,Miami-Dade,0.170013458
12011020501,Broward,10.11154737
12115001504,Sarasota,4.77467875
12103024508,Pinellas,28.42602747
12075970102,Levy,21.90911117
12105014902,Polk,23.39283093
12009064123,Brevard,11.38476448
12117020701,Seminole,73.87432138
12015020602,Charlotte,15.61513319
12103024509,Pinellas,42.61246257
12086003909,Miami-Dade,5.399739641
12057013411,Hillsborough,11.00000273
12055960101,Highlands,19.50939747
12099008002,Palm Beach,14.37004704
12103025010,Pinellas,2.013762236
12071050203,Lee,18.43374678
12011010402,Broward,2.888459149
12061050200,Indian River,49.85782515
12095014200,Orange,9.670424621
12117020807,Seminole,90.66334596
12086000402,Miami-Dade,9.859411189
12057001100,Hillsborough,49.57085653
12101031301,Pasco,19.81258047
12086008207,Miami-Dade,1.775080242
12086980300,Miami-Dade,5.066319809
12011100104,Broward,2.859424402
12115000802,Sarasota,14.96148221
12099004007,Palm Beach,19.95247642
12019031300,Clay,65.58800722
12099002400,Palm Beach,19.92976024
12095010400,Orange,33.06582379
12117021506,Seminole,45.16849328
12099007757,Palm Beach,7.545878132
12099007759,Palm Beach,19.09449008
12101031508,Pasco,26.69397958
12005000804,Bay,19.47882171
12071050103,Lee,1.293404716
12081000306,Manatee,31.79231951
12057013407,Hillsborough,0.899361834
12083001206,Marion,0.182273805
12085001410,Martin,34.55621237
12099007604,Palm Beach,15.36918065
12086009306,Miami-Dade,1.384197348
12105011204,Polk,13.98066082
12127091017,Volusia,17.31085503
12001001603,Alachua,53.08321951
12086003100,Miami-Dade,4.988300889
12103027320,Pinellas,49.13252691
12127090806,Volusia,54.41270746
12127082701,Volusia,53.69123946
12103022503,Pinellas,31.09918457
12057014108,Hillsborough,15.76046092
12023110602,Columbia,68.15119227
12086008601,Miami-Dade,3.96844695
12099005601,Palm Beach,5.870922595
12057010203,Hillsborough,15.60617192
12117020704,Seminole,33.55677488
12057006900,Hillsborough,46.13140903
12095017017,Orange,52.55679781
12011050208,Broward,18.63256517
12101032009,Pasco,20.08012048
12099006401,Palm Beach,3.553382982
12085000501,Martin,37.80020045
12103024905,Pinellas,49.7321635
12127082604,Volusia,34.30482972
12075970600,Levy,30.61133709
12105011909,Polk,1.343896197
12011010403,Broward,0.443276581
12099003700,Palm Beach,17.70505078
12057014016,Hillsborough,19.4590786
12105013600,Polk,24.85376137
12103026815,Pinellas,29.11923437
12057011709,Hillsborough,43.65290606
12031001600,Duval,25.44762546
12103026818,Pinellas,10.62472215
12023110800,Columbia,46.96315208
12071040304,Lee,36.37969043
12095016200,Orange,57.17700688
12095016733,Orange,13.0703246
12086013700,Miami-Dade,9.125970901
12055961302,Highlands,21.85861214
12095016729,Orange,65.31184467
12057000500,Hillsborough,58.59014775
12105012206,Polk,47.49469655
12086002702,Miami-Dade,4.647763197
12031016400,Duval,94.49004035
12073000302,Leon,30.10967964
12009069200,Brevard,45.85475292
12031012200,Duval,53.89347719
12086010613,Miami-Dade,2.268447873
12011070317,Broward,4.387686952
12099007808,Palm Beach,28.0438265
12057004700,Hillsborough,22.83127024
12011040802,Broward,12.05645298
12099005814,Palm Beach,29.08324169
12011080101,Broward,10.76319746
12101030205,Pasco,51.19812413
12017451300,Citrus,16.60112264
12053040602,Hernando,29.08476296
12001002220,Alachua,89.16479765
12103025413,Pinellas,50.4606614
12103028402,Pinellas,26.33731043
12009069902,Brevard,2.316691112
12119910401,Sumter,16.79316837
12086000123,Miami-Dade,6.392593276
12073002415,Leon,8.162555687
12101031805,Pasco,27.13564385
12103020800,Pinellas,48.55690554
12086000607,Miami-Dade,9.762801264
12099004011,Palm Beach,33.17949857
12015020400,Charlotte,21.1495753
12057010209,Hillsborough,3.10083907
12086005600,Miami-Dade,2.170247372
12011070319,Broward,7.146897091
12086001103,Miami-Dade,7.097622972
12095016902,Orange,64.03457823
12011031102,Broward,9.530152207
12099006201,Palm Beach,4.78684159
12073002701,Leon,9.05317425
12101033012,Pasco,52.09531857
12095011100,Orange,9.590247685
12099001913,Palm Beach,26.85731102
12031014002,Duval,54.22971647
12086009905,Miami-Dade,7.122323419
12095014400,Orange,74.78613851
12103024507,Pinellas,39.79505047
12031014204,Duval,32.43252247
12131950301,Walton,5.014149357
12071001102,Lee,29.95173904
12083001007,Marion,37.13479515
12019030201,Clay,78.0520011
12011090602,Broward,13.210926
12073002411,Leon,17.78976034
12011043001,Broward,13.22717561
12115001908,Sarasota,38.56680669
12103027801,Pinellas,1.808111697
12105011501,Polk,30.68547397
12083002701,Marion,25.05496843
12019031107,Clay,86.84497244
12109020807,St Johns,67.01642154
12021000600,Collier,6.409439652
12057014012,Hillsborough,35.38541399
12109021407,St Johns,43.20374057
12115002507,Sarasota,20.26364619
12115002723,Sarasota,8.819603504
12001001814,Alachua,24.55441784
12101031505,Pasco,43.72054714
12097042200,Osceola,26.11155336
12099007813,Palm Beach,31.9623177
12097043205,Osceola,4.652663504
12095012306,Orange,48.57980461
12117021806,Seminole,49.21698467
12119911301,Sumter,85.836628
12009064800,Brevard,44.94522333
12057010401,Hillsborough,17.65173127
12023110201,Columbia,63.02930039
12099002900,Palm Beach,5.066663264
12101031014,Pasco,3.521218726
12053041303,Hernando,58.45521399
12103027904,Pinellas,31.31688091
12103025505,Pinellas,42.2686835
12103027310,Pinellas,4.326366533
12103027207,Pinellas,20.04955624
12086000603,Miami-Dade,10.09977176
12099005812,Palm Beach,5.260806042
12031016805,Duval,113.2131074
12086009804,Miami-Dade,4.205597955
12085001302,Martin,4.274041801
12085001404,Martin,16.96374171
12041950201,Gilchrist,59.92176134
12011110402,Broward,11.15009546
12071001906,Lee,32.1556263
12011040300,Broward,1.41121666
12011060209,Broward,13.29786723
12103025603,Pinellas,37.12164992
12127091021,Volusia,77.67521716
12011060801,Broward,12.75673568
12019030701,Clay,11.74105364
12115002710,Sarasota,5.115994054
12086005303,Miami-Dade,3.993073616
12095013511,Orange,13.87145299
12086008410,Miami-Dade,4.246113854
12103025800,Pinellas,38.38611809
12101032110,Pasco,58.3451037
12097042000,Osceola,47.31934463
12011060107,Broward,13.06186922
12075970301,Levy,20.10931938
12095012403,Orange,63.64231473
12057012002,Hillsborough,16.50505479
12009068101,Brevard,50.82039943
12081002012,Manatee,29.11729388
12086013500,Miami-Dade,11.13620536
12071001101,Lee,13.41900031
12011050301,Broward,2.907961587
12081001907,Manatee,16.69859424
12086004608,Miami-Dade,3.251630237
12057005000,Hillsborough,18.91902584
12083001302,Marion,76.2095045
12109020707,St Johns,30.56645496
12031000200,Duval,57.24527895
12103026500,Pinellas,28.75115385
12011050501,Broward,15.85275031
12071000301,Lee,15.86142509
12105012125,Polk,65.36042548
12099005300,Palm Beach,22.98264255
12103025015,Pinellas,28.20903504
12105012124,Polk,34.57604123
12086000413,Miami-Dade,4.70848289
12011020104,Broward,3.602933853
12101031207,Pasco,20.80544032
12063210500,Jackson,9.512005377
12099007763,Palm Beach,14.63455906
12103025115,Pinellas,47.01222175
12053040907,Hernando,68.13088981
12105016001,Polk,39.68040596
12011100103,Broward,10.73348765
12057011408,Hillsborough,9.505884468
12086000301,Miami-Dade,9.811594328
12099005935,Palm Beach,21.48478044
12103028401,Pinellas,26.26745113
12011060128,Broward,17.78633673
12071040123,Lee,36.33440767
12031002801,Duval,58.23233154
12035060206,Flagler,107.4533025
12086009313,Miami-Dade,12.27289918
12099007203,Palm Beach,12.20553818
12057010214,Hillsborough,8.046261816
12121970302,Suwannee,0.738461354
12086012800,Miami-Dade,11.11845969
12011050206,Broward,3.676353771
12005000300,Bay,17.31438722
12101030407,Pasco,26.41034899
12086007806,Miami-Dade,3.590049459
12105015000,Polk,56.56774039
12111380901,St Lucie,24.99710873
12095016807,Orange,36.64910426
12017450702,Citrus,43.88298178
12057013913,Hillsborough,48.84956072
12086004204,Miami-Dade,6.162209608
12086009026,Miami-Dade,5.462015746
12051000600,Hendry,23.19398906
12097043202,Osceola,42.38025855
12086004607,Miami-Dade,0.551783843
12071010701,Lee,0.745303883
12086009035,Miami-Dade,1.820975794
12011020317,Broward,21.74430084
12037970302,Franklin,30.36651409
12103025122,Pinellas,12.08226882
12086009309,Miami-Dade,7.407197311
12103028102,Pinellas,0.624557357
12071001401,Lee,30.43747888
12103024413,Pinellas,7.679250249
12099000408,Palm Beach,12.49849706
12011110338,Broward,16.07245409
12071050106,Lee,27.89305857
12109020708,St Johns,72.27616827
12011010401,Broward,0.761833258
12086009030,Miami-Dade,5.8153892
12086000121,Miami-Dade,2.28846978
12086009808,Miami-Dade,12.24835281
12011060303,Broward,8.905379754
12021011400,Collier,8.623624094
12069030405,Lake,38.97177019
