Year,State,Party,Votes
2008,Idaho,democrat,236440
2012,Idaho,democrat,212787
1988,Idaho,republican,253881
1992,Idaho,republican,202645
2000,Idaho,republican,336937
2004,Idaho,republican,409235
1996,Idaho,republican,256595
1976,Idaho,republican,204151
2008,Idaho,republican,403012
1980,Idaho,republican,290699
1984,Idaho,republican,297523
2012,Idaho,republican,420911
2016,Idaho,republican,409055
1976,Illinois,democrat,2271295
1980,Illinois,democrat,1981413
1992,Illinois,democrat,2453350
1996,Illinois,democrat,2341744
2016,Illinois,democrat,3090729
1988,Illinois,democrat,2215940
2000,Illinois,democrat,2589026
2004,Illinois,democrat,2891550
1984,Illinois,democrat,2086499
2008,Illinois,democrat,3419348
2012,Illinois,democrat,3019512
1988,Illinois,republican,2310939
1992,Illinois,republican,1734096
2000,Illinois,republican,2019421
2004,Illinois,republican,2345946
1996,Illinois,republican,1587021
1976,Illinois,republican,2364269
2008,Illinois,republican,2031179
1980,Illinois,republican,2358049
1984,Illinois,republican,2707103
2012,Illinois,republican,2135216
2016,Illinois,republican,2146015
1976,Indiana,democrat,1014714
1980,Indiana,democrat,844197
1992,Indiana,democrat,848420
1996,Indiana,democrat,887424
2016,Indiana,democrat,1033126
1988,Indiana,democrat,860643
2000,Indiana,democrat,901980
2004,Indiana,democrat,969011
1984,Indiana,democrat,841481
2008,Indiana,democrat,1374039
2012,Indiana,democrat,1152887
1988,Indiana,republican,1297763
1992,Indiana,republican,989375
2000,Indiana,republican,1245836
2004,Indiana,republican,1479438
1996,Indiana,republican,1006693
1976,Indiana,republican,1183958
2008,Indiana,republican,1345648
1980,Indiana,republican,1255656
1984,Indiana,republican,1377230
2012,Indiana,republican,1420543
2016,Indiana,republican,1557286
1976,Iowa,democrat,619931
1980,Iowa,democrat,508672
1992,Iowa,democrat,586353
1996,Iowa,democrat,620258
2016,Iowa,democrat,653669
1988,Iowa,democrat,670557
2000,Iowa,democrat,638517
2004,Iowa,democrat,741898
1984,Iowa,democrat,605620
2008,Iowa,democrat,828940
2012,Iowa,democrat,822544
1988,Iowa,republican,545355
1992,Iowa,republican,504891
2000,Iowa,republican,634373
2004,Iowa,republican,751957
1996,Iowa,republican,492644
1976,Iowa,republican,632864
2008,Iowa,republican,682379
1980,Iowa,republican,676026
1984,Iowa,republican,703088
2012,Iowa,republican,730617
2016,Iowa,republican,800983
1976,Kansas,democrat,430421
1980,Kansas,democrat,326150
1992,Kansas,democrat,390434
1996,Kansas,democrat,387659
2016,Kansas,democrat,427005
1988,Kansas,democrat,422636
2000,Kansas,democrat,399276
2004,Kansas,democrat,434993
1984,Kansas,democrat,333149
2008,Kansas,democrat,514765
2012,Kansas,democrat,440726
1988,Kansas,republican,554049
1992,Kansas,republican,449951
2000,Kansas,republican,622332
2004,Kansas,republican,736456
1996,Kansas,republican,583245
1976,Kansas,republican,502752
2008,Kansas,republican,699655
1980,Kansas,republican,566812
1984,Kansas,republican,677296
2012,Kansas,republican,692634
2016,Kansas,republican,671018
1976,Kentucky,democrat,615717
1980,Kentucky,democrat,617417
1992,Kentucky,democrat,665104
1996,Kentucky,democrat,636614
2016,Kentucky,democrat,628854
1988,Kentucky,democrat,580368
2000,Kentucky,democrat,638923
2004,Kentucky,democrat,712733
1984,Kentucky,democrat,539539
2008,Kentucky,democrat,751985
2012,Kentucky,democrat,679370
1988,Kentucky,republican,734281
1992,Kentucky,republican,617178
2000,Kentucky,republican,872520
2004,Kentucky,republican,1069439
1996,Kentucky,republican,623283
1976,Kentucky,republican,531852
2008,Kentucky,republican,1048462
1980,Kentucky,republican,635274
1984,Kentucky,republican,821702
2012,Kentucky,republican,1087190
2016,Kentucky,republican,1202971
1976,Louisiana,democrat,661365
1980,Louisiana,democrat,708453
1992,Louisiana,democrat,815971
1996,Louisiana,democrat,927837
2016,Louisiana,democrat,780154
1988,Louisiana,democrat,717460
2000,Louisiana,democrat,792344
2004,Louisiana,democrat,820299
1984,Louisiana,democrat,651586
2008,Louisiana,democrat,782989
2012,Louisiana,democrat,809141
1988,Louisiana,republican,883702
1992,Louisiana,republican,733386
2000,Louisiana,republican,927871
2004,Louisiana,republican,1102169
1996,Louisiana,republican,712586
1976,Louisiana,republican,587446
2008,Louisiana,republican,1148275
1980,Louisiana,republican,792853
1984,Louisiana,republican,1037299
2012,Louisiana,republican,1152262
2016,Louisiana,republican,1178638
1976,Maine,democrat,232279
1980,Maine,democrat,220974
1992,Maine,democrat,263420
1996,Maine,democrat,312788
2016,Maine,democrat,357735
1988,Maine,democrat,243569
2000,Maine,democrat,319951
2004,Maine,democrat,396842
1984,Maine,democrat,214515
2008,Maine,democrat,421923
2012,Maine,democrat,401306
1988,Maine,republican,307131
1992,Maine,republican,206504
2000,Maine,republican,286616
2004,Maine,republican,330201
1996,Maine,republican,186378
1976,Maine,republican,236320
2008,Maine,republican,295273
1980,Maine,republican,238522
1984,Maine,republican,336500
2012,Maine,republican,292276
2016,Maine,republican,335593
1976,Maryland,democrat,759612
1980,Maryland,democrat,726161
1992,Maryland,democrat,988571
1996,Maryland,democrat,966207
2016,Maryland,democrat,1677928
1988,Maryland,democrat,826304
2000,Maryland,democrat,1144008
2004,Maryland,democrat,1334493
1984,Maryland,democrat,787935
2008,Maryland,democrat,1629467
2012,Maryland,democrat,1677844
1988,Maryland,republican,876167
1992,Maryland,republican,707094
2000,Maryland,republican,813827
2004,Maryland,republican,1024703
1996,Maryland,republican,681530
1976,Maryland,republican,672661
2008,Maryland,republican,959862
1980,Maryland,republican,680606
1984,Maryland,republican,879918
2012,Maryland,republican,971869
2016,Maryland,republican,943169
1976,Massachusetts,democrat,1429475
1980,Massachusetts,democrat,1053802
1992,Massachusetts,democrat,1318639
1996,Massachusetts,democrat,1571509
2016,Massachusetts,democrat,1995196
1988,Massachusetts,democrat,1401415
2000,Massachusetts,democrat,1616487
2004,Massachusetts,democrat,1803800
1984,Massachusetts,democrat,1239606
2008,Massachusetts,democrat,1904097
2012,Massachusetts,democrat,1921290
1988,Massachusetts,republican,1194635
1992,Massachusetts,republican,805039
2000,Massachusetts,republican,878502
2004,Massachusetts,republican,1071109
1996,Massachusetts,republican,718058
1976,Massachusetts,republican,1030276
2008,Massachusetts,republican,1108854
1980,Massachusetts,republican,1057631
1984,Massachusetts,republican,1310936
2012,Massachusetts,republican,1188314
2016,Massachusetts,republican,1090893
1976,Michigan,democrat,1696714
1980,Michigan,democrat,1661532
1992,Michigan,democrat,1871182
1996,Michigan,democrat,1989653
2016,Michigan,democrat,2268839
1988,Michigan,democrat,1675783
2000,Michigan,democrat,2170418
2004,Michigan,democrat,2479183
1984,Michigan,democrat,1529638
2008,Michigan,democrat,2872579
2012,Michigan,democrat,2564569
1988,Michigan,republican,1965486
1992,Michigan,republican,1554940
2000,Michigan,republican,1953139
2004,Michigan,republican,2313746
1996,Michigan,republican,1481212
1976,Michigan,republican,1893742
2008,Michigan,republican,2048639
1980,Michigan,republican,1915225
1984,Michigan,republican,2251571
2012,Michigan,republican,2115256
2016,Michigan,republican,2279543
1976,Minnesota,democrat,1070440
1980,Minnesota,democrat,954173
1992,Minnesota,democrat,1020997
1996,Minnesota,democrat,1120380
2016,Minnesota,democrat,1367705
1988,Minnesota,democrat,1109471
1984,Minnesota,democrat,1036364
2008,Minnesota,democrat,1573354
1988,Minnesota,republican,962337
1992,Minnesota,republican,747841
2000,Minnesota,republican,1109659
2004,Minnesota,republican,1346695
1996,Minnesota,republican,766395
1976,Minnesota,republican,819395
2008,Minnesota,republican,1275409
1980,Minnesota,republican,873268
1984,Minnesota,republican,1032603
2012,Minnesota,republican,1320225
2016,Minnesota,republican,1322949
1976,Mississippi,democrat,381329
1980,Mississippi,democrat,429281
1992,Mississippi,democrat,400258
1996,Mississippi,democrat,394022
2016,Mississippi,democrat,485131
1988,Mississippi,democrat,363921
2000,Mississippi,democrat,404614
2004,Mississippi,democrat,457766
1984,Mississippi,democrat,352192
2008,Mississippi,democrat,554662
2012,Mississippi,democrat,562949
1988,Mississippi,republican,557890
1992,Mississippi,republican,487793
2000,Mississippi,republican,572844
2004,Mississippi,republican,672660
1996,Mississippi,republican,439838
1976,Mississippi,republican,366846
2008,Mississippi,republican,724597
1980,Mississippi,republican,441089
1984,Mississippi,republican,582377
2012,Mississippi,republican,710746
2016,Mississippi,republican,700714
1976,Missouri,democrat,998387
1980,Missouri,democrat,931182
1992,Missouri,democrat,1053873
1996,Missouri,democrat,1025935
2016,Missouri,democrat,1071068
1988,Missouri,democrat,1001619
2000,Missouri,democrat,1111138
2004,Missouri,democrat,1259171
1984,Missouri,democrat,848583
2008,Missouri,democrat,1441911
2012,Missouri,democrat,1223796
1988,Missouri,republican,1084953
1992,Missouri,republican,811159
2000,Missouri,republican,1189924
2004,Missouri,republican,1455713
1996,Missouri,republican,890016
1976,Missouri,republican,927443
2008,Missouri,republican,1445814
1980,Missouri,republican,1074181
1984,Missouri,republican,1274188
2012,Missouri,republican,1482440
2016,Missouri,republican,1594511
1976,Montana,democrat,149259
1980,Montana,democrat,118032
1992,Montana,democrat,154507
1996,Montana,democrat,167922
2016,Montana,democrat,177709
1988,Montana,democrat,168936
2000,Montana,democrat,137126
2004,Montana,democrat,173710
1984,Montana,democrat,146742
2008,Montana,democrat,231667
2012,Montana,democrat,201839
1988,Montana,republican,190412
1992,Montana,republican,144207
2000,Montana,republican,240178
2004,Montana,republican,266063
1996,Montana,republican,179652
1976,Montana,republican,173703
2008,Montana,republican,242763
1980,Montana,republican,206814
1984,Montana,republican,232450
2012,Montana,republican,267928
2016,Montana,republican,279240
1976,Nebraska,democrat,233293
1980,Nebraska,democrat,166424
1992,Nebraska,democrat,216864
1996,Nebraska,democrat,236761
2016,Nebraska,democrat,284494
1988,Nebraska,democrat,259235
2000,Nebraska,democrat,231780
2004,Nebraska,democrat,254328
1984,Nebraska,democrat,187866
2008,Nebraska,democrat,333319
2012,Nebraska,democrat,302081
1988,Nebraska,republican,397956
1992,Nebraska,republican,343678
2000,Nebraska,republican,433862
2004,Nebraska,republican,512814
1996,Nebraska,republican,363467
1976,Nebraska,republican,359219
2008,Nebraska,republican,452979
1980,Nebraska,republican,419214
1984,Nebraska,republican,460054
2012,Nebraska,republican,475064
2016,Nebraska,republican,495961
1976,Nevada,democrat,92479
1980,Nevada,democrat,66666
1992,Nevada,democrat,189148
1996,Nevada,democrat,203974
2016,Nevada,democrat,539260
1988,Nevada,democrat,132738
2000,Nevada,democrat,279978
2004,Nevada,democrat,397190
1984,Nevada,democrat,91655
2008,Nevada,democrat,533736
2012,Nevada,democrat,531373
1988,Nevada,republican,206040
1992,Nevada,republican,175828
2000,Nevada,republican,301575
2004,Nevada,republican,418690
1996,Nevada,republican,199244
1976,Nevada,republican,101273
2008,Nevada,republican,412827
1980,Nevada,republican,155017
1984,Nevada,republican,188770
2012,Nevada,republican,463567
2016,Nevada,republican,512058
1976,New Hampshire,democrat,147645
1980,New Hampshire,democrat,108864
1992,New Hampshire,democrat,209040
1996,New Hampshire,democrat,246166
2016,New Hampshire,democrat,348526
1988,New Hampshire,democrat,163696
2000,New Hampshire,democrat,266348
2004,New Hampshire,democrat,340511
1984,New Hampshire,democrat,120347
2008,New Hampshire,democrat,384826
2012,New Hampshire,democrat,369561
1988,New Hampshire,republican,281537
1992,New Hampshire,republican,202484
2000,New Hampshire,republican,273559
2004,New Hampshire,republican,331237
1996,New Hampshire,republican,196486
1976,New Hampshire,republican,185935
2008,New Hampshire,republican,316534
1980,New Hampshire,republican,221705
1984,New Hampshire,republican,267050
2012,New Hampshire,republican,329918
2016,New Hampshire,republican,345790
1976,New Jersey,democrat,1444653
1980,New Jersey,democrat,1147364
1992,New Jersey,democrat,1436206
1996,New Jersey,democrat,1652361
2016,New Jersey,democrat,2148278
1988,New Jersey,democrat,1320352
2000,New Jersey,democrat,1788850
2004,New Jersey,democrat,1911430
1984,New Jersey,democrat,1261323
2008,New Jersey,democrat,2215422
2012,New Jersey,democrat,2122786
1988,New Jersey,republican,1743192
1992,New Jersey,republican,1356865
2000,New Jersey,republican,1284173
2004,New Jersey,republican,1670003
1996,New Jersey,republican,1103099
1976,New Jersey,republican,1509688
2008,New Jersey,republican,1613207
1980,New Jersey,republican,1546557
1984,New Jersey,republican,1933630
2012,New Jersey,republican,1478088
2016,New Jersey,republican,1601933
1976,New Mexico,democrat,201148
1980,New Mexico,democrat,167826
1992,New Mexico,democrat,261617
1996,New Mexico,democrat,273495
2016,New Mexico,democrat,385234
1988,New Mexico,democrat,244497
2000,New Mexico,democrat,286783
2004,New Mexico,democrat,370942
1984,New Mexico,democrat,201769
2008,New Mexico,democrat,472422
2012,New Mexico,democrat,415335
1988,New Mexico,republican,270341
1992,New Mexico,republican,212824
2000,New Mexico,republican,286417
2004,New Mexico,republican,376930
1996,New Mexico,republican,232751
1976,New Mexico,republican,211419
2008,New Mexico,republican,346832
1980,New Mexico,republican,250779
1984,New Mexico,republican,307101
2012,New Mexico,republican,335788
2016,New Mexico,republican,319667
1976,New York,democrat,3244165
1980,New York,democrat,2728372
1992,New York,democrat,3346894
1996,New York,democrat,3649630
2016,New York,democrat,4379789
1988,New York,democrat,3255487
2000,New York,democrat,3942215
2004,New York,democrat,4180755
1984,New York,democrat,3001285
2008,New York,democrat,4645332
2012,New York,democrat,4324228
1988,New York,republican,2838414
1992,New York,republican,2041690
2000,New York,republican,2258577
2004,New York,republican,2806993
1996,New York,republican,1738707
1976,New York,republican,2825913
2008,New York,republican,2418323
1980,New York,republican,2637700
1984,New York,republican,3376519
2012,New York,republican,2223397
2016,New York,republican,2527142
1976,North Carolina,democrat,927365
1980,North Carolina,democrat,875635
1992,North Carolina,democrat,1114042
1996,North Carolina,democrat,1107849
2016,North Carolina,democrat,2189316
1988,North Carolina,democrat,890167
2000,North Carolina,democrat,1257692
2004,North Carolina,democrat,1525849
1984,North Carolina,democrat,824287
2008,North Carolina,democrat,2142651
2012,North Carolina,democrat,2178391
1988,North Carolina,republican,1237258
1992,North Carolina,republican,1134661
2000,North Carolina,republican,1631163
2004,North Carolina,republican,1961166
1996,North Carolina,republican,1225938
1976,North Carolina,republican,741960
2008,North Carolina,republican,2128474
1980,North Carolina,republican,915018
1984,North Carolina,republican,1346481
2012,North Carolina,republican,2270395
2016,North Carolina,republican,2362631
1976,North Dakota,democrat,136078
1980,North Dakota,democrat,79189
1992,North Dakota,democrat,99168
1996,North Dakota,democrat,106905
2016,North Dakota,democrat,93758
1988,North Dakota,democrat,127739
2000,North Dakota,democrat,95284
2004,North Dakota,democrat,111052
1984,North Dakota,democrat,104429
2008,North Dakota,democrat,141278
2012,North Dakota,democrat,124966
1988,North Dakota,republican,166559
1992,North Dakota,republican,136244
2000,North Dakota,republican,174852
2004,North Dakota,republican,196651
1996,North Dakota,republican,125050
1976,North Dakota,republican,153684
2008,North Dakota,republican,168601
1980,North Dakota,republican,193695
1984,North Dakota,republican,200336
2012,North Dakota,republican,188320
2016,North Dakota,republican,216794
1976,Ohio,democrat,2009959
1980,Ohio,democrat,1752414
1992,Ohio,democrat,1984942
1996,Ohio,democrat,2148222
2016,Ohio,democrat,2394164
1988,Ohio,democrat,1939629
2000,Ohio,democrat,2183628
2004,Ohio,democrat,2741165
1984,Ohio,democrat,1825440
2008,Ohio,democrat,2940044
2012,Ohio,democrat,2827621
1988,Ohio,republican,2416549
1992,Ohio,republican,1894310
2000,Ohio,republican,2350363
2004,Ohio,republican,2859764
1996,Ohio,republican,1859883
1976,Ohio,republican,2000626
2008,Ohio,republican,2677820
1980,Ohio,republican,2206545
1984,Ohio,republican,2678559
2012,Ohio,republican,2661407
2016,Ohio,republican,2841005
1976,Oklahoma,democrat,532442
1980,Oklahoma,democrat,402026
1992,Oklahoma,democrat,473066
1996,Oklahoma,democrat,488105
2016,Oklahoma,democrat,420375
1988,Oklahoma,democrat,483423
2000,Oklahoma,democrat,474276
2004,Oklahoma,democrat,503966
1984,Oklahoma,democrat,385080
2008,Oklahoma,democrat,502496
2012,Oklahoma,democrat,443547
1988,Oklahoma,republican,678367
1992,Oklahoma,republican,592929
2000,Oklahoma,republican,744337
2004,Oklahoma,republican,959792
1996,Oklahoma,republican,582315
1976,Oklahoma,republican,545708
2008,Oklahoma,republican,960165
1980,Oklahoma,republican,695570
1984,Oklahoma,republican,861530
2012,Oklahoma,republican,891325
2016,Oklahoma,republican,949136
1976,Oregon,democrat,490407
1980,Oregon,democrat,456890
1992,Oregon,democrat,621314
1996,Oregon,democrat,649641
2016,Oregon,democrat,1002106
1988,Oregon,democrat,616206
2000,Oregon,democrat,720342
2004,Oregon,democrat,943163
1984,Oregon,democrat,536479
2008,Oregon,democrat,1037291
2012,Oregon,democrat,970488
1988,Oregon,republican,560126
1992,Oregon,republican,475757
2000,Oregon,republican,713577
2004,Oregon,republican,866831
1996,Oregon,republican,538152
1976,Oregon,republican,492120
2008,Oregon,republican,738475
1980,Oregon,republican,571044
1984,Oregon,republican,685700
2012,Oregon,republican,754175
2016,Oregon,republican,782403
1976,Pennsylvania,democrat,2328677
1980,Pennsylvania,democrat,1937540
1992,Pennsylvania,democrat,2239164
1996,Pennsylvania,democrat,2215819
2016,Pennsylvania,democrat,2926441
1988,Pennsylvania,democrat,2194944
2000,Pennsylvania,democrat,2485967
2004,Pennsylvania,democrat,2938095
1984,Pennsylvania,democrat,2228131
2008,Pennsylvania,democrat,3276363
2012,Pennsylvania,democrat,2990274
1988,Pennsylvania,republican,2300087
1992,Pennsylvania,republican,1791841
2000,Pennsylvania,republican,2281127
2004,Pennsylvania,republican,2793847
1996,Pennsylvania,republican,1801169
1976,Pennsylvania,republican,2205604
2008,Pennsylvania,republican,2655885
1980,Pennsylvania,republican,2261872
1984,Pennsylvania,republican,2584323
2012,Pennsylvania,republican,2680434
2016,Pennsylvania,republican,2970733
1976,Rhode Island,democrat,227636
1980,Rhode Island,democrat,198342
1992,Rhode Island,democrat,213299
1996,Rhode Island,democrat,233050
2016,Rhode Island,democrat,252525
1988,Rhode Island,democrat,225123
2000,Rhode Island,democrat,249508
2004,Rhode Island,democrat,259760
1984,Rhode Island,democrat,197106
2008,Rhode Island,democrat,296571
2012,Rhode Island,democrat,279677
1988,Rhode Island,republican,177761
1992,Rhode Island,republican,131601
2000,Rhode Island,republican,130555
2004,Rhode Island,republican,169046
1996,Rhode Island,republican,104683
1976,Rhode Island,republican,181249
2008,Rhode Island,republican,165391
1980,Rhode Island,republican,154793
1984,Rhode Island,republican,212080
2012,Rhode Island,republican,157204
2016,Rhode Island,republican,180543
1976,South Carolina,democrat,450807
1980,South Carolina,democrat,428220
1992,South Carolina,democrat,525514
1996,South Carolina,democrat,506152
2016,South Carolina,democrat,855373
1988,South Carolina,democrat,370554
2000,South Carolina,democrat,566037
2004,South Carolina,democrat,661669
1984,South Carolina,democrat,344459
2008,South Carolina,democrat,862449
2012,South Carolina,democrat,865941
1988,South Carolina,republican,606443
1992,South Carolina,republican,577507
2000,South Carolina,republican,786892
2004,South Carolina,republican,937974
1996,South Carolina,republican,573339
1976,South Carolina,republican,346149
2008,South Carolina,republican,1034896
1980,South Carolina,republican,439277
1984,South Carolina,republican,615539
2012,South Carolina,republican,1071645
2016,South Carolina,republican,1155389
1976,South Dakota,democrat,147068
1980,South Dakota,democrat,103855
1992,South Dakota,democrat,124888
1996,South Dakota,democrat,139333
2016,South Dakota,democrat,117458
1988,South Dakota,democrat,145560
2000,South Dakota,democrat,118804
2004,South Dakota,democrat,149244
1984,South Dakota,democrat,116113
2008,South Dakota,democrat,170924
2012,South Dakota,democrat,145039
1988,South Dakota,republican,165415
1992,South Dakota,republican,136718
2000,South Dakota,republican,190700
2004,South Dakota,republican,232584
1996,South Dakota,republican,150543
1976,South Dakota,republican,151505
2008,South Dakota,republican,203054
1980,South Dakota,republican,198343
1984,South Dakota,republican,200267
2012,South Dakota,republican,210610
2016,South Dakota,republican,227721
1976,Tennessee,democrat,825879
1980,Tennessee,democrat,783051
1992,Tennessee,democrat,933521
1996,Tennessee,democrat,909146
2016,Tennessee,democrat,870695
1988,Tennessee,democrat,679794
2000,Tennessee,democrat,981720
2004,Tennessee,democrat,1036477
1984,Tennessee,democrat,711714
2008,Tennessee,democrat,1087437
2012,Tennessee,democrat,960709
1988,Tennessee,republican,947233
1992,Tennessee,republican,841300
2000,Tennessee,republican,1061949
2004,Tennessee,republican,1384375
1996,Tennessee,republican,863530
